mdn=SSN	batch_size=200	lr=0.0001	N=1000	cf_dim=2	num_features=32
run	acc	dc0_val	dc1_val	loss
1	58.2	0.44267023427556257	0.44443396402924984	7.19888162612915
2	59.8	0.47580771577724296	0.46815919159893515	7.066225647926331
3	56.8	0.3716521591779624	0.3490927738697163	6.704331696033478
4	55.4	0.4870697652050998	0.5020705455290336	7.277862906455994
5	64.7	0.39590749414165116	0.37563971189347345	6.539104461669922
6	53.7	0.4862336984355724	0.492889329352653	7.6876667737960815
7	91.4	0.43834365639561285	0.44648621342069994	3.0330152809619904
8	55.2	0.3812743308929536	0.3560249914416736	7.021795988082886
9	60.4	0.3997176559625792	0.3739404470870206	8.301275312900543
10	62.4	0.44294611927111227	0.433647014528293	6.169293463230133
