mdn=SSN	batch_size=200	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	90.2	0.08041584832734	0.04799950026790915	2.906668871641159
2	90.3	0.16371000756948037	0.1580186356193388	2.7329091578722
3	92.7	0.10304334200155495	0.08699368858164307	1.7674019932746887
4	91.7	0.08450936085985017	0.08868820606821474	2.0205440744757652
5	89.9	0.11782568129351403	0.10423051227568768	2.959279105067253
6	92.8	0.1765108868299914	0.15779598036847936	1.497473917901516
7	92.8	0.07471424025627126	0.05031919281123289	1.6870549470186234
8	90.8	0.1401910320125606	0.12325436976310152	2.5077963024377823
9	75.2	0.04614611966040732	0.03257584031960681	7.200426280498505
10	92.8	0.1027915484321248	0.09678314753810581	1.705561637878418
