mdn=Conv	batch_size=200	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	82.0	0.049168536395377986	0.02216933644959042	2.7502378672361374
2	85.6	0.1917556864016395	0.13006216480835023	2.828299790620804
3	82.1	0.1861406605726696	0.07854812715299085	2.407349154353142
4	81.3	0.11960061144092124	0.03237410351509183	2.834131971001625
5	80.1	0.01660916687980273	0.00278295506047625	2.786421149969101
6	83.1	0.17868045633551594	0.05661330360984473	2.38529534637928
7	85.6	0.09484588284927864	0.03157261904508919	2.4866807013750076
8	82.6	0.12424165272529544	0.030562988155005334	2.662590816617012
9	83.2	0.07201662231070986	0.02105037552646311	2.579954981803894
10	82.0	0.027323385385451808	0.004206784156055887	2.6672134697437286
