mdn=Baseline	batch_size=200	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	93.6	0.42892036512537657	0.4273972359730877	1.2805158123373985
2	93.7	0.4254458559260799	0.42472003548279896	1.2745926901698112
3	93.6	0.4334733521066819	0.4299669136974196	1.3654073849320412
4	93.9	0.4289514200168644	0.4246215461710394	1.3015579283237457
5	93.9	0.42871567259349497	0.43031227201523364	1.2945866882801056
6	93.6	0.4293546106527123	0.42877996864879175	1.2713902816176414
7	93.7	0.4412718469831201	0.4396393095931141	1.268136888742447
8	93.8	0.4289159960904772	0.42483029081222246	1.2759527564048767
9	94.0	0.42789006659480816	0.42683451212684836	1.310256950557232
10	93.6	0.40022732428759333	0.40076078318472547	1.308947615325451
