mdn=SSN	batch_size=2000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	84.0	0.04563068205740288	0.04069272297317941	0.3412344455718994
2	83.0	0.14806707081704967	0.13185173948914605	0.36225417256355286
3	75.0	0.2714552310725882	0.24933979133574125	0.5962192416191101
4	83.0	0.09841513453027126	0.08570809985042456	0.3141885995864868
5	85.0	0.07980618018436245	0.06737565499087256	0.28260621428489685
6	86.0	0.08661277057980048	0.07015477228364528	0.29330164194107056
7	82.0	0.04477214642757583	0.04546934337737699	0.3759292662143707
8	82.0	0.16268261472210507	0.14156837006055908	0.39453351497650146
9	80.0	0.12771866072939098	0.10779627246794603	0.4559883773326874
10	84.0	0.08152316064332131	0.07324390244694536	0.3218137323856354
