mdn=Baseline	batch_size=1000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	94.0	0.2699820661904105	0.26095954466142823	0.2758272588253021
2	94.0	0.2864337305336168	0.2793130691080199	0.27156195044517517
3	94.0	0.34704951978570325	0.340407859414264	0.2674777954816818
4	94.0	0.2808947421712359	0.2771061025945993	0.269169420003891
5	94.0	0.30518670800931696	0.3026398872978372	0.2662246599793434
6	93.5	0.27169893241334614	0.2617417081405177	0.27539949119091034
7	93.5	0.290137475369987	0.2853607403551825	0.27344508469104767
8	94.0	0.28145551362662985	0.27166457606410277	0.2755225971341133
9	94.0	0.25347300881622387	0.2449308156863581	0.28875912725925446
10	93.5	0.25359958937422483	0.24166109663408605	0.28545883297920227
