mdn=Linear	batch_size=1000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	76.0	0.0016192334654904536	-0.0006123486874444982	0.774072527885437
2	72.5	0.0013693677945258546	-0.0008861209024790796	0.9372240006923676
3	75.0	0.0016908126056368973	-0.0007555682662789641	0.7555745542049408
4	79.5	0.001406747152542584	-0.0007704912010624965	0.7602313756942749
5	76.0	0.001804203046629411	-0.0006791812107130453	0.8201439082622528
6	78.0	0.0010136096670056432	-0.0009045019138467356	0.7854776680469513
7	74.5	0.001511511492491057	-0.0006462023091866728	0.8182069063186646
8	76.0	0.0014920954382296062	-0.0004314658293959551	0.7209675312042236
9	76.5	0.0010206376214169095	-0.0007910618944583293	0.7989754974842072
10	76.0	0.0013999429633668266	-0.0008648297881605158	0.7870263457298279
