mdn=SSN	batch_size=1000	lr=0.0001	N=1000	cf_dim=2	num_features=32
run	acc	dc0_val	dc1_val	loss
1	62.5	0.12228495353843556	0.10496124358663267	1.2288056015968323
2	61.0	0.14855552890994386	0.13448284539188107	1.2464537024497986
3	60.5	0.0970572485047169	0.07900838583113971	1.3908771276474
4	66.5	0.057849907455171774	0.06225109333174626	1.1853181719779968
5	62.5	0.12551896027613602	0.10526697994569946	1.240566372871399
6	62.0	0.14030174620042082	0.12205230943384167	1.3156057596206665
7	61.5	0.09480178781553902	0.08220234135272901	1.300703525543213
8	60.5	0.04827836039123619	0.04045746896329689	1.4069001078605652
9	67.0	0.24186910805004258	0.22486761835180175	1.093428611755371
10	64.5	0.04464772772760615	0.03165659757786377	1.2913841605186462
