mdn=Conv	batch_size=2000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	78.0	0.0024422157720859075	-0.0007735566113159059	0.46465936303138733
2	76.0	0.0025691511805174248	-0.0006115346585745126	0.471572607755661
3	77.0	0.002439443375070361	-0.0006197570177945501	0.4732566773891449
4	76.0	0.0025960425000338926	-0.0008291744320220211	0.5017813444137573
5	79.0	0.002609030925770262	-0.0006645690330767974	0.4391917884349823
6	75.0	0.0022396458922077926	-0.0005129619169589976	0.45583516359329224
7	75.0	0.002253032526070362	-0.0005918987973726137	0.47640472650527954
8	78.0	0.0025441780032754557	-0.0006840458222742401	0.4655497670173645
9	77.0	0.002327642558121053	-0.0005925630985282433	0.44799351692199707
10	72.0	0.0015584150092443586	5.3342722554361184e-05	0.4744497537612915
