mdn=SSN	batch_size=2000	lr=0.0001	N=1000	cf_dim=2	num_features=32
run	acc	dc0_val	dc1_val	loss
1	65.0	0.03641206480678658	0.026920626439137868	0.624016284942627
2	65.0	0.01579916823315492	0.009616773027797723	0.6174863576889038
3	69.0	0.03456752104587264	0.023728202201763984	0.5766499042510986
4	65.0	0.05650142759027612	0.04287516589414692	0.6069480180740356
5	64.0	0.031174589932763334	0.04174892173058934	0.6102047562599182
6	66.0	0.03273541347331193	0.027170320182820753	0.6116117238998413
7	68.0	0.051978698165874276	0.07072657612835248	0.5750305652618408
8	66.0	0.04553487321177186	0.04133073154436049	0.6097436547279358
9	64.0	0.01280368540428599	0.007465328097806445	0.6495247483253479
10	68.0	0.03621806773618302	0.0241600338702995	0.5842719078063965
