acc	dc0_val	dc1_val	loss
49.8	0.4616385320015024	0.30357231940760504	6.896791398525238
49.9	0.09463394672279452	0.054788225246175146	6.751123309135437
57.8	0.05187951265566729	0.025729548585015548	6.538097858428955
70.2	0.055106190356895034	0.019265134665128743	6.248065710067749
73.0	0.036941622418649074	0.01058311277868503	5.88095498085022
75.8	0.07659469835538493	0.023906937764681828	5.54112583398819
77.5	0.023540112496320577	0.005468170826981413	5.157251268625259
78.2	0.014735506322505178	0.003026003253124069	4.929334253072739
78.1	0.016887972635900406	0.0018357440489812672	4.7907765209674835
80.2	0.0500871258211799	0.005669652565334674	4.364444375038147
76.2	0.12527098397656072	0.031236822293134573	4.566210329532623
78.8	0.055795781159139156	0.01039036330247697	4.186188906431198
80.1	0.041543037079865064	0.005410119149598046	4.051486909389496
80.3	0.04638530585744318	0.005354079954814849	3.8331679701805115
81.8	0.01021049472097075	0.00021147440676613826	3.60086327791214
80.1	0.013283152535681596	0.00035447951914562427	3.7434709072113037
80.2	0.021013576550148422	0.001976023237977788	3.676856815814972
80.2	0.022738764492753256	0.0020831757135868502	3.625913441181183
80.0	0.01661022879476375	0.0009502140184351878	3.4061155915260315
80.1	0.01765287166175656	0.0013193851802467326	3.416174679994583
80.3	0.016709347607257955	0.001391387761808212	3.413171887397766
80.1	0.01857583844441432	0.0023226797956722293	3.440878689289093
79.6	0.00667823716986173	0.0002610515110568939	3.339251160621643
79.8	0.005355891234474413	0.0004544118907261282	3.209672898054123
79.6	0.0039485586420473185	-0.0001848579185304266	3.2369031608104706
80.2	0.005899780985527867	0.00010979529676929733	3.091207206249237
80.3	0.005628742847166661	0.00014966204865128003	3.130117416381836
80.3	0.011082329884854483	0.0013054561624026555	3.190682888031006
80.3	0.007095003675305889	0.0003308329471691441	3.1704467236995697
80.4	0.004041865327709577	-0.00023432430078960693	3.072053074836731
80.7	0.009554290967790063	0.0011680265861504719	3.013620063662529
80.4	0.015658991889043183	0.0022172573400612095	3.104448616504669
80.8	0.010743629205022172	0.0014236471686402518	2.9605047553777695
80.7	0.013434015617940831	0.0020221858625866784	3.082717537879944
80.8	0.006418316837996454	0.0006013261969540946	2.9865005016326904
80.9	0.011017902020009178	0.001932833679056987	2.9633276164531708
80.8	0.012138424711557723	0.0036224509960314575	2.827401101589203
80.9	0.012471173475287027	0.0023841175203211406	2.956398367881775
81.5	0.01714291694839208	0.005081916187673588	2.882501006126404
81.2	0.010225983823249301	0.0016664818787964913	2.739544853568077
80.7	0.01342067557219316	0.0036224458674824203	2.8534175753593445
80.9	0.01346570397789705	0.004370656791049354	2.7273775190114975
80.7	0.008207072140675006	0.0012528391259427696	2.815320521593094
81.4	0.037020976181284984	0.016560998486917465	2.878270760178566
81.6	0.0217708471046202	0.007601154557549615	2.8347552716732025
80.9	0.015878885119550604	0.004164132065393412	2.8372829854488373
80.9	0.014823685490012424	0.004501457960198056	2.68437097966671
81.1	0.011372827535764879	0.002622084097084534	2.7578778862953186
81.5	0.012223783543761267	0.0034462250589611014	2.665471628308296
81.6	0.0174057169317404	0.005815742723235823	2.7174743562936783
82.1	0.02697990831884884	0.008286380589355016	2.774663418531418
81.6	0.02912369449207688	0.009164957381309864	2.8092812299728394
81.4	0.015471194924085161	0.0038410929373345246	2.7681164741516113
81.3	0.014806198825758303	0.004151931486143294	2.6061913520097733
81.2	0.026155732515539036	0.009973613392178218	2.6473254561424255
81.0	0.013990594795029693	0.002775421992375039	2.7666695415973663
81.3	0.014557680895128298	0.0028345417692320746	2.705010086297989
81.3	0.026097994831439462	0.007860817126542723	2.6028113663196564
81.5	0.03062457174146457	0.010036059150656801	2.62898051738739
81.4	0.016679914253608024	0.003423056881954721	2.6448953300714493
81.5	0.019829865469648857	0.005196735695255295	2.6134925484657288
81.9	0.047665190366409656	0.018071654297795742	2.648688465356827
81.6	0.05051744127757522	0.017299625149266917	2.628455713391304
81.5	0.03833215716969484	0.013458519652580846	2.5955879539251328
81.7	0.046105038534421675	0.01628518499362966	2.6627219021320343
81.7	0.041522028973598565	0.013794331942666096	2.7675313353538513
81.5	0.03936493558357884	0.0138962602545051	2.6341753602027893
81.7	0.042966880060710776	0.014871829818015273	2.6137863993644714
81.3	0.018995560816291664	0.0029925241422807773	2.6918565034866333
81.4	0.03264169448071103	0.007526246223118904	2.675989806652069
82.1	0.044474771178093425	0.013764897780659755	2.6695635616779327
82.0	0.04431954621732409	0.013512508709199542	2.592086911201477
81.8	0.047920118504635	0.01337653112113539	2.7542776316404343
82.3	0.061025152209366385	0.018070258765043142	2.4621371626853943
82.9	0.038726370641942516	0.009802249467170239	2.5770513713359833
82.9	0.07094773655417877	0.022768367306118937	2.6880587935447693
82.3	0.07040380188483039	0.02300808236312891	2.6580981016159058
82.2	0.0433116467133095	0.012569819354059455	2.6505446285009384
83.0	0.07504849793754191	0.02475354457082675	2.436400681734085
82.4	0.07115677862493557	0.026515153027231776	2.5800783187150955
82.7	0.10613457756750275	0.03857400345998199	2.671336978673935
83.1	0.041593604484930616	0.011869881023613655	2.529633492231369
82.9	0.04514240100084142	0.012386881745318212	2.6317459493875504
82.5	0.08026562739886821	0.02825272487163809	2.578004911541939
83.1	0.05091838795712477	0.014944309397925534	2.621103197336197
83.0	0.0808947270919217	0.02731928201669069	2.6797080785036087
83.0	0.08557189311708073	0.024932175762777235	2.5714658200740814
