mdn=Linear	batch_size=2000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	77.0	0.008118135668964147	0.005175369349294387	0.4076865017414093
2	83.0	0.0067335732130924895	0.002957607298067745	0.35548511147499084
3	80.0	0.012447951134769986	0.002657485509496228	0.36672961711883545
4	82.0	0.007259365999393796	0.0013543794925479627	0.37607064843177795
5	67.0	0.0051962107164347715	0.0019060854264137074	0.5426063537597656
6	78.0	0.010720795835180865	0.0037544101904115348	0.39588475227355957
7	76.0	0.006692547817521461	0.0023651399296013794	0.4339379072189331
8	75.0	0.007595281937789719	0.005646630674260676	0.4143482446670532
9	55.0	0.005522158170298137	0.0025296778278162597	0.6276049017906189
10	83.0	0.009579591438675447	0.004796299505085378	0.31113940477371216
