mdn=Conv	batch_size=1000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	80.5	0.0012108257171479955	-0.0006747079835283562	0.6349392533302307
2	80.0	0.0012679663434815808	-0.0008729284402069757	0.651901513338089
3	81.0	0.00334124772332871	-0.0007106085503836066	0.6365325152873993
4	83.0	0.002304871806789039	-0.0007817959652967799	0.6558369696140289
5	81.0	0.0013115345782736705	-0.0008259059490979328	0.6350282430648804
6	84.0	0.0020890843085660553	-0.0008225099805029831	0.6455452740192413
7	80.0	0.0030864647785647623	-0.0006915355076677016	0.6560873091220856
8	83.0	0.001698721684662214	-0.0008283714882373536	0.6613395810127258
9	78.5	0.000697535795644802	-0.0007718874987794359	0.6846955120563507
10	80.0	0.0021543834034626085	-0.0008124577516840703	0.6552571654319763
