acc	dc0_val	dc1_val	loss
50.0	0.05966922421733094	0.07237166381226855	1.3822832703590393
50.0	0.01905652120533222	0.021573949351311524	1.3782134652137756
76.0	0.008290985637068158	0.00872468691517749	1.3727169036865234
83.0	0.004688131506486049	0.004258686189401235	1.365931212902069
84.0	0.0028589222252044804	0.002119825828948479	1.3593614101409912
81.5	0.002101604952265114	0.0012337289478277715	1.3518027067184448
83.5	0.0014131944217520185	0.0004063938091708883	1.3447380065917969
75.5	0.0011322745735851695	0.0001017942660766065	1.3354902863502502
73.0	0.0008821867511926973	-0.0001443813240762937	1.326337218284607
69.0	0.0007520840388360838	-0.0002873109071411866	1.316577672958374
68.0	0.000713139175692597	-0.00038967083058732976	1.306194007396698
69.0	0.0007789055242896034	-0.000519888607931695	1.2951964735984802
66.0	0.0007432835009131447	-0.0005384436140424281	1.2843416929244995
66.0	0.0008299034203789486	-0.000576699839052465	1.2726255655288696
65.0	0.0008774610002190411	-0.0005962099353706809	1.2609477043151855
64.0	0.0009237667742988447	-0.0006238288988097262	1.2495094537734985
66.5	0.0010289709724215785	-0.000695286833700684	1.23582261800766
66.5	0.0011525032360727267	-0.0007133391905115236	1.2227966785430908
66.5	0.0011446472668219683	-0.0007194806909538911	1.2111160159111023
66.0	0.0011430694192291167	-0.0007260726547738506	1.2000088691711426
66.5	0.0011956732586733485	-0.0007556894103649472	1.1882601976394653
66.5	0.0012421739990862164	-0.0007668199497676249	1.177684485912323
67.0	0.0012952774952818952	-0.0007844284231407156	1.1660071015357971
66.5	0.0013138652346522358	-0.0007784198700521235	1.1599587202072144
66.5	0.001264251152921293	-0.000789297178383885	1.156603991985321
66.5	0.0012831926013946702	-0.000805519349490151	1.1463136672973633
66.5	0.001238769018978864	-0.0008188580871628437	1.1493972539901733
68.5	0.0012731686844970594	-0.0008431248081863427	1.1296594738960266
69.0	0.0012066659831132768	-0.0008557499843032943	1.1261100769042969
72.5	0.0012499408641451926	-0.0008417021038919347	1.095105767250061
72.5	0.0011531322916433925	-0.0008599434368704344	1.0909503102302551
73.0	0.0010714016510411323	-0.0008684451048508411	1.083625316619873
73.5	0.0010761954497036372	-0.0008687462017364911	1.0772716403007507
73.5	0.001150118648565879	-0.000846784054501687	1.067030429840088
74.0	0.0011375356176621747	-0.000855235219517149	1.0592676997184753
74.0	0.001017415405248181	-0.0008720403338757209	1.0565401911735535
75.0	0.0010171047489206729	-0.0008705529450812127	1.0360700488090515
75.5	0.0008685854651786452	-0.0008733935850895416	1.0267485976219177
76.0	0.0009046639883842892	-0.0008724658219975463	1.018504559993744
77.5	0.0009280636872870731	-0.0008710542779273066	0.9954842329025269
78.5	0.000979043981329148	-0.0008684391599940163	0.9803979396820068
79.0	0.0010647889574553272	-0.0008617806957810458	0.9759910404682159
79.5	0.001126362631312158	-0.0008553567096447658	0.9685309827327728
79.0	0.001144005129142724	-0.000852428530928018	0.9655041694641113
79.0	0.0011603926328547067	-0.0008458002802964032	0.9559493958950043
79.5	0.0011840943658673459	-0.0008422431912648392	0.9384461343288422
79.0	0.0012133137849022041	-0.0008339534686947897	0.9355904757976532
79.0	0.0012475783085049022	-0.0008253344889935421	0.9278079271316528
80.5	0.0013094924932732384	-0.0008228976564427505	0.9118506014347076
80.5	0.0013011936101717852	-0.0008210004709696425	0.905298113822937
