acc	dc0_val	dc1_val	loss
50.0	0.40317988934689347	0.43519102942719845	0.6878165006637573
50.0	0.3952211262236722	0.42511878359758687	0.6832044720649719
50.0	0.3697375347195683	0.388841585961346	0.6784749031066895
50.0	0.33119455794837144	0.3417635830482585	0.6733826398849487
50.0	0.2925192208454147	0.2993280751721297	0.6681014895439148
50.0	0.26152199908664375	0.2673216385539921	0.6627844572067261
51.0	0.23951307760692095	0.24388226980758762	0.6571692228317261
55.0	0.22374978206880347	0.22557538935554153	0.6508691906929016
59.0	0.2122725271870229	0.21006511255878293	0.6444228291511536
61.0	0.20380612328715345	0.19628359052289	0.6375628709793091
63.0	0.19661398937713398	0.18482606501661342	0.6305169463157654
64.0	0.18993822379532502	0.1760270269974031	0.6231387853622437
66.0	0.1841560752716038	0.16903880396061388	0.615507185459137
67.0	0.17934399820007252	0.1633397849206756	0.6076620817184448
68.0	0.1752952464608535	0.15862402125760355	0.5996099710464478
69.0	0.17160638350926133	0.1546168586179618	0.5915361642837524
70.0	0.16828341980820027	0.15119819135287815	0.5833517909049988
71.0	0.16519949529427053	0.14823188007385027	0.5750793814659119
71.0	0.16247620094314297	0.14568228072534292	0.5667718648910522
72.0	0.16021534036676888	0.14352459718152247	0.5584654808044434
72.0	0.15839926974865415	0.1416380691769436	0.5502060651779175
73.0	0.15699003693188085	0.14003192195119965	0.54203200340271
74.0	0.1558662988233948	0.13858580847748594	0.5340118408203125
74.0	0.15495753336869286	0.13732686371243036	0.5261859893798828
74.0	0.15415891440106286	0.13621937688921465	0.5185997486114502
74.0	0.15344381308572821	0.13523201926698747	0.5112882852554321
75.0	0.15278295441844414	0.13437797134944485	0.5042853951454163
75.0	0.1521529127829455	0.13363267241362106	0.4976320266723633
76.0	0.15158438908160285	0.13295494728602855	0.49136534333229065
76.0	0.15102632612053996	0.1323630979976447	0.48551785945892334
76.0	0.15050887308977368	0.13181117430144626	0.48011502623558044
76.0	0.15007844269988682	0.1313352058803578	0.4751760959625244
76.0	0.1496975008676119	0.13089296796067137	0.47069501876831055
76.0	0.1493988397483635	0.1305353197333997	0.46681302785873413
77.0	0.14916498987441168	0.13019787479436562	0.4634743630886078
77.0	0.14895504604347493	0.12987891192714715	0.46070948243141174
77.0	0.14873089791936442	0.12958145899832293	0.45848190784454346
77.0	0.1484979666407984	0.1292794737594842	0.45677992701530457
77.0	0.14823193242911734	0.1289727451669464	0.4555882215499878
77.0	0.14791946919612142	0.1286395941723099	0.4548902213573456
77.0	0.1475944329007608	0.12827987472271926	0.45465508103370667
77.0	0.14724277615428186	0.12790727834992752	0.4548567235469818
78.0	0.14686863927966542	0.12752351707766252	0.45545631647109985
78.0	0.14646308808505068	0.12711589204582724	0.45641225576400757
78.0	0.14606731853796093	0.12668087009440832	0.45768678188323975
78.0	0.1456025003415048	0.12621406369540572	0.4593838155269623
78.0	0.14510795572247898	0.12569359131067567	0.46146920323371887
78.0	0.1445986096009118	0.12513069970156102	0.4637718200683594
78.0	0.14405094663387932	0.12452341493610929	0.46624723076820374
78.0	0.14342458444138667	0.12385917811315593	0.4689143896102905
78.0	0.1427292408601519	0.12312377245287238	0.471693754196167
78.0	0.1419971090334362	0.12235881407968897	0.4746030569076538
78.0	0.14158072816464146	0.12193678590419775	0.4760464131832123
78.0	0.14115076538192278	0.12147973687799743	0.477441668510437
78.0	0.14067720822175445	0.12098807742487817	0.47876644134521484
78.0	0.14016043008345003	0.12046914709672997	0.4800436496734619
78.0	0.13961683542824774	0.11991968051884573	0.4812537729740143
78.0	0.13904966872014116	0.11934464069709833	0.4824044108390808
78.0	0.13846126987007326	0.11875667947003621	0.4834924638271332
78.0	0.1378289791708862	0.11813765913239577	0.4845183193683624
78.0	0.1371943297388829	0.11748628619051404	0.48548606038093567
78.0	0.13652702657269336	0.11683092272678419	0.48637625575065613
78.0	0.13584318060922584	0.11616395896424542	0.48722967505455017
78.0	0.13549011982271786	0.11581655641618312	0.4876123368740082
78.0	0.13511259367674444	0.11546039482016629	0.48796963691711426
78.0	0.1347517496575142	0.11509379796206053	0.48829758167266846
78.0	0.1343726050972204	0.11472408106416615	0.4886041581630707
78.0	0.13398278330695965	0.11434455240099041	0.4888930320739746
78.0	0.13359244568828552	0.11396376674155619	0.4891638457775116
78.0	0.13319366815347716	0.11357006239894303	0.48940950632095337
78.0	0.13277773720441732	0.11317028281019127	0.48962849378585815
78.0	0.13237205348018657	0.11276804629229924	0.48983022570610046
78.0	0.13195529075763054	0.11236328971033105	0.49000900983810425
78.0	0.13152883585899955	0.11195423290591468	0.49017012119293213
78.0	0.13133244427077947	0.11175517773915652	0.4902450442314148
78.0	0.1311186550524544	0.11155563081421785	0.49030569195747375
78.0	0.13090984992747873	0.11134945242136979	0.49036431312561035
78.0	0.13068950720957137	0.11113346356911565	0.4904158413410187
78.0	0.13047239567430058	0.1109248860792023	0.49045729637145996
78.0	0.13024925610949883	0.11071789617320124	0.4904942810535431
