mdn=SSN	batch_size=1000	lr=0.0001	N=1000	cf_dim=1	num_features=32
run	acc	dc0_val	dc1_val	loss
1	78.0	0.12521236073533534	0.10891945506748667	1.0061365962028503
2	93.0	0.0683011548027876	0.05514085792943006	0.3385053277015686
3	89.0	0.04612023655997761	0.032462715038581225	0.4645808935165405
4	94.0	0.05157898655901419	0.03948253775044993	0.2946768254041672
5	94.0	0.024678567098475244	0.024281035440433897	0.3037929981946945
6	93.5	0.03953204467655267	0.032003701984425495	0.2928541898727417
7	76.0	0.11508777286925002	0.09666148346632387	1.29903244972229
8	93.5	0.03272712008101229	0.016843797120480293	0.3101356327533722
9	68.5	0.23254083037467807	0.18632626374924943	1.7162387371063232
10	94.0	0.021146281231303007	0.01608791116669902	0.30538246035575867
